攝像機,圖像文件名,說明,影像位置 - 東經坐標數值*,影像位置 - 北緯坐標數值*,網址
H106F,H106F.JPG,干諾道中近交易廣場,834060,816365,http://tdcctv.data.one.gov.hk/H106F.JPG
H107F,H107F.JPG,畢打街,834251,815825,http://tdcctv.data.one.gov.hk/H107F.JPG
H108F,H108F.JPG,皇后大道中近雪廠街,834307,815670,http://tdcctv.data.one.gov.hk/H108F.JPG
H109F,H109F.JPG,皇后大道中近花園道,834701,815639,http://tdcctv.data.one.gov.hk/H109F.JPG
H110F,H110F.JPG,干諾道中近信德中心,833974,816414,http://tdcctv.data.one.gov.hk/H110F.JPG
H130F,H130F.JPG,薄扶林道近蒲飛路,831648,815857,http://tdcctv.data.one.gov.hk/H130F.JPG
H132F2,H132F2.JPG,薄扶林道近士美菲路,831530,815440,http://tdcctv.data.one.gov.hk/H132F2.JPG
H138F,H138F.JPG,紅棉路近美利大廈,834462,815412,http://tdcctv.data.one.gov.hk/H138F.JPG
H201F,H201F.JPG,軒尼詩道近軍器廠街,835400,815422,http://tdcctv.data.one.gov.hk/H201F.JPG
H203F,H203F.JPG,怡和街近軒尼詩道,837091,815679,http://tdcctv.data.one.gov.hk/H203F.JPG
H204F,H204F.JPG,菲林明道近港灣道,836013,815756,http://tdcctv.data.one.gov.hk/H204F.JPG
H207F,H207F.JPG,海底隧道香港入口,836809,815849,http://tdcctv.data.one.gov.hk/H207F.JPG
H209F,H209F.JPG,皇后大道東近司徒拔道,836391,815128,http://tdcctv.data.one.gov.hk/H209F.JPG
H210F,H210F.JPG,香港仔隧道灣仔入口,836502,815130,http://tdcctv.data.one.gov.hk/H210F.JPG
H214F,H214F.JPG,夏愨道近紅十字會總部,835893,815674,http://tdcctv.data.one.gov.hk/H214F.JPG
H215F,H215F.JPG,告士打道近灣仔交匯處,836636,815850,http://tdcctv.data.one.gov.hk/H215F.JPG
H216F,H216F.JPG,堅拿道天橋近時代廣場,836711,815628,http://tdcctv.data.one.gov.hk/H216F.JPG
H222F,H222F.JPG,告士打道近新鴻基中心,836118,815632,http://tdcctv.data.one.gov.hk/H222F.JPG
H305F,H305F.JPG,高士威道近興發街,837753,815881,http://tdcctv.data.one.gov.hk/H305F.JPG
H307F,H307F.JPG,英皇道近電廠街,838176,816841,http://tdcctv.data.one.gov.hk/H307F.JPG
H401F,H401F.JPG,黃竹坑道近香港仔隧道,835637,812448,http://tdcctv.data.one.gov.hk/H401F.JPG
H422F1,H422F1.JPG,黃竹坑道近香港仔工業學校,834650,812183,http://tdcctv.data.one.gov.hk/H422F1.JPG
H422F2,H422F2.JPG,鴨利洲橋道近香港仔警署,834633,812095,http://tdcctv.data.one.gov.hk/H422F2.JPG
H429F,H429F.JPG,香港仔海傍道近魚市場,833545,812189,http://tdcctv.data.one.gov.hk/H429F.JPG
H801F,H801F.JPG,東區走廊近嘉華國際中心,839132,817250,http://tdcctv.data.one.gov.hk/H801F.JPG
H802F,H802F.JPG,東區走廊近海裕街,839855,816912,http://tdcctv.data.one.gov.hk/H802F.JPG
H803F,H803F.JPG,東區走廊近鰂魚涌公園,840787,816596,http://tdcctv.data.one.gov.hk/H803F.JPG
H903F,H903F.JPG,摩利臣山道近體育道,836673,815230,http://tdcctv.data.one.gov.hk/H903F.JPG
H904F,H904F.JPG,堅拿道天橋近告士打道,836679,815711,http://tdcctv.data.one.gov.hk/H904F.JPG
TC551F,TC551F.JPG,汲水門橋,823592,822667,http://tdcctv.data.one.gov.hk/TC551F.JPG
TC573F,TC573F.JPG,青嶼幹線近收費廣場,822215,822108,http://tdcctv.data.one.gov.hk/TC573F.JPG
SM933F,SM933F.JPG,城門隧道公路,837023,826509,http://tdcctv.data.one.gov.hk/SM933F.JPG
SM934F,SM934F.JPG,城門隧道沙田入口,835189,826867,http://tdcctv.data.one.gov.hk/SM934F.JPG
ST106F,ST106F.JPG,沙田圍路/沙瀝公路,838649,826523,http://tdcctv.data.one.gov.hk/ST106F.JPG
ST109F,ST109F.JPG,大涌橋路近濱景花園,839016,827761,http://tdcctv.data.one.gov.hk/ST109F.JPG
ST112F,ST112F.JPG,美田路近車公廟路迴旋處,836584,825780,http://tdcctv.data.one.gov.hk/ST112F.JPG
ST114F,ST114F.JPG,大埔公路沙田段,837674,827277,http://tdcctv.data.one.gov.hk/ST114F.JPG
ST115F,ST115F.JPG,火炭路,838338,827859,http://tdcctv.data.one.gov.hk/ST115F.JPG
ST117F,ST117F.JPG,西沙路近馬鞍山運動場,841439,831310,http://tdcctv.data.one.gov.hk/ST117F.JPG
ST119F,ST119F.JPG,西沙路/錦英路,842843,831980,http://tdcctv.data.one.gov.hk/ST119F.JPG
TH101F,TH101F.JPG,吐露港公路近馬料水交匯處,839951,830304,http://tdcctv.data.one.gov.hk/TH101F.JPG
TH110F,TH110F.JPG,吐露港公路近香港科學園,838284,833227,http://tdcctv.data.one.gov.hk/TH110F.JPG
TH114F,TH114F.JPG,吐露港公路近元洲仔交匯處,836304,833974,http://tdcctv.data.one.gov.hk/TH114F.JPG
RT115F,RT115F.JPG,龍門路近湖翠路,813942,826353,http://tdcctv.data.one.gov.hk/RT115F.JPG
RT116F,RT116F.JPG,皇珠路近龍門路,814689,827701,http://tdcctv.data.one.gov.hk/RT116F.JPG
TC604F,TC604F.JPG,汀九橋,826493,824541,http://tdcctv.data.one.gov.hk/TC604F.JPG
TC612F,TC612F.JPG,屯門公路至汀九橋,825761,825704,http://tdcctv.data.one.gov.hk/TC612F.JPG
TR101F,TR101F.JPG,屯門公路-柴灣角,828593,826093,http://tdcctv.data.one.gov.hk/TR101F.JPG
TR105F,TR105F.JPG,屯門公路-汀九段,826026,825793,http://tdcctv.data.one.gov.hk/TR105F.JPG
TR108F,TR108F.JPG,屯門公路-深井交匯處,824330,825576,http://tdcctv.data.one.gov.hk/TR108F.JPG
TR114F,TR114F.JPG,屯門公路-大欖角段,820053,824313,http://tdcctv.data.one.gov.hk/TR114F.JPG
TR119F,TR119F.JPG,屯門公路-三聖墟,816113,827041,http://tdcctv.data.one.gov.hk/TR119F.JPG
TC104F,TC104F.JPG,青葵公路近四號貨櫃碼頭,831612,822223,http://tdcctv.data.one.gov.hk/TC104F.JPG
BC101F,BC101F.JPG,新田公路近錦繡花園,823794,837083,http://tdcctv.data.one.gov.hk/BC101F.JPG
BC102F,BC102F.JPG,新田公路近米埔,824754,839245,http://tdcctv.data.one.gov.hk/BC102F.JPG
BC103F,BC103F.JPG,新深路迴旋處,826465,840287,http://tdcctv.data.one.gov.hk/BC103F.JPG
FH104F,FH104F.JPG,粉嶺公路近古洞,827827,840497,http://tdcctv.data.one.gov.hk/FH104F.JPG
FH106F,FH106F.JPG,粉嶺公路上水迴旋處,830869,840072,http://tdcctv.data.one.gov.hk/FH106F.JPG
FH107F,FH107F.JPG,粉嶺公路近百和路,831274,839862,http://tdcctv.data.one.gov.hk/FH107F.JPG
NH101F,NH101F.JPG,馬會道近粉嶺公路,833149,838713,http://tdcctv.data.one.gov.hk/NH101F.JPG
NH109F,NH109F.JPG,馬會道近馬適路,831857,840099,http://tdcctv.data.one.gov.hk/NH109F.JPG
NH113F,NH113F.JPG,新運路近龍琛路,831083,840385,http://tdcctv.data.one.gov.hk/NH113F.JPG
NH115F,NH115F.JPG,沙頭角公路近馬適路,833194,840146,http://tdcctv.data.one.gov.hk/NH115F.JPG
TP102F,TP102F.JPG,完善路近汀角路,836303,835283,http://tdcctv.data.one.gov.hk/TP102F.JPG
TP105F,TP105F.JPG,大埔太和路近南運路,835765,834669,http://tdcctv.data.one.gov.hk/TP105F.JPG
TP112F,TP112F.JPG,大埔太和路近大埔公路-大窩,834416,834785,http://tdcctv.data.one.gov.hk/TP112F.JPG
TP114F,TP114F.JPG,南運路近廣福道,835744,834126,http://tdcctv.data.one.gov.hk/TP114F.JPG
K101F,K101F.JPG,梳士巴利道近彌敦道,835792,817332,http://tdcctv.data.one.gov.hk/K101F.JPG
K102F,K102F.JPG,梳士巴利道近漆咸道,836094,817392,http://tdcctv.data.one.gov.hk/K102F.JPG
K104F,K104F.JPG,廣東道近中港城,835403,817905,http://tdcctv.data.one.gov.hk/K104F.JPG
K106F,K106F.JPG,漆咸道近柯士甸道,836292,818257,http://tdcctv.data.one.gov.hk/K106F.JPG
K107F,K107F.JPG,海底隧道九龍入口,836663,818254,http://tdcctv.data.one.gov.hk/K107F.JPG
K108F,K108F.JPG,佐敦道近渡船街,835241,818565,http://tdcctv.data.one.gov.hk/K108F.JPG
K109F,K109F.JPG,漆咸道近公主道,836431,818558,http://tdcctv.data.one.gov.hk/K109F.JPG
K111F,K111F.JPG,窩打老道/渡船街,835268,819288,http://tdcctv.data.one.gov.hk/K111F.JPG
K112F,K112F.JPG,窩打老道近東方街,835746,819346,http://tdcctv.data.one.gov.hk/K112F.JPG
K123F,K123F.JPG,公主道近京士柏,836386,819050,http://tdcctv.data.one.gov.hk/K123F.JPG
K209F,K209F.JPG,界限街近大坑東道,835803,820822,http://tdcctv.data.one.gov.hk/K209F.JPG
K221F,K221F.JPG,櫻桃街近海泓道,834872,819932,http://tdcctv.data.one.gov.hk/K221F.JPG
K305F,K305F.JPG,長沙灣道近光昌街,833671,822192,http://tdcctv.data.one.gov.hk/K305F.JPG
K325F,K325F.JPG,葵涌道近美孚新邨,832615,821975,http://tdcctv.data.one.gov.hk/K325F.JPG
K404F,K404F.JPG,啟德隧道九龍城入口,837362,819479,http://tdcctv.data.one.gov.hk/K404F.JPG
K405F,K405F.JPG,馬頭圍道近農圃道,837368,820335,http://tdcctv.data.one.gov.hk/K405F.JPG
K408F,K408F.JPG,公主道/培正道,836431,819862,http://tdcctv.data.one.gov.hk/K408F.JPG
K409F,K409F.JPG,公主道/亞皆老街,836338,820335,http://tdcctv.data.one.gov.hk/K409F.JPG
K502F,K502F.JPG,窩打老道/歌和老街,836493,822345,http://tdcctv.data.one.gov.hk/K502F.JPG
K505F,K505F.JPG,龍翔道/竹園道,837065,822685,http://tdcctv.data.one.gov.hk/K505F.JPG
K506F,K506F.JPG,太子道西天橋近世運公園,837767,821018,http://tdcctv.data.one.gov.hk/K506F.JPG
K508F,K508F.JPG,龍翔道/蒲崗村道,838507,822544,http://tdcctv.data.one.gov.hk/K508F.JPG
K521F,K521F.JPG,太子道東近新蒲崗,838268,821504,http://tdcctv.data.one.gov.hk/K521F.JPG
K602F,K602F.JPG,鯉魚門道近茶果嶺道,841675,818988,http://tdcctv.data.one.gov.hk/K602F.JPG
K607F,K607F.JPG,秀茂坪道近協和街,841327,820562,http://tdcctv.data.one.gov.hk/K607F.JPG
K613F,K613F.JPG,啟祥道近宏照道,839535,820747,http://tdcctv.data.one.gov.hk/K613F.JPG
K614F,K614F.JPG,龍翔道/清水灣道,839495,821701,http://tdcctv.data.one.gov.hk/K614F.JPG
K621F,K621F.JPG,觀塘道近啟業邨,839923,821103,http://tdcctv.data.one.gov.hk/K621F.JPG
K627F,K627F.JPG,淸水灣道近飛鵝山道,840990,821665,http://tdcctv.data.one.gov.hk/K627F.JPG
K802F,K802F.JPG,呈祥道近明愛醫院,833946,822627,http://tdcctv.data.one.gov.hk/K802F.JPG
K804F,K804F.JPG,龍翔道近澤安邨,834977,822541,http://tdcctv.data.one.gov.hk/K804F.JPG
K809F2,K809F2.JPG,觀塘道近九龍灣港鐵站,840175,820079,http://tdcctv.data.one.gov.hk/K809F2.JPG
K810F,K810F.JPG,觀塘道近牛頭角港鐵站,840743,819523,http://tdcctv.data.one.gov.hk/K810F.JPG
K811F,K811F.JPG,將軍澳道近翠屏南邨,842195,819230,http://tdcctv.data.one.gov.hk/K811F.JPG
K812F,K812F.JPG,觀塘繞道近麗港城,841658,818874,http://tdcctv.data.one.gov.hk/K812F.JPG
K813F,K813F.JPG,觀塘繞道近勵業街,840416,819283,http://tdcctv.data.one.gov.hk/K813F.JPG
K814F,K814F.JPG,觀塘繞道近啟祥道,839093,820705,http://tdcctv.data.one.gov.hk/K814F.JPG
K816F,K816F.JPG,西九龍走廊近南昌邨,834690,820692,http://tdcctv.data.one.gov.hk/K816F.JPG
K911F,K911F.JPG,西九龍公路油麻地北交匯處,834613,819573,http://tdcctv.data.one.gov.hk/K911F.JPG
K914F,K914F.JPG,西九龍公路近荔灣交匯處,832783,821350,http://tdcctv.data.one.gov.hk/K914F.JPG
TK101F,TK101F.JPG,寶琳北路近寶康路,843959,820807,http://tdcctv.data.one.gov.hk/TK101F.JPG
TK105F,TK105F.JPG,寶順路近將軍澳游泳池,844972,819827,http://tdcctv.data.one.gov.hk/TK105F.JPG
TK110F,TK110F.JPG,翠嶺路近寶順路,844372,818516,http://tdcctv.data.one.gov.hk/TK110F.JPG
TK904F,TK904F.JPG,將軍澳隧道將軍澳入口,844296,820178,http://tdcctv.data.one.gov.hk/TK904F.JPG
NL121F,NL121F.JPG,北大嶼山公路近欣澳,820149,820655,http://tdcctv.data.one.gov.hk/NL121F.JPG
NL124F,NL124F.JPG,北大嶼山公路近小蠔灣,817086,819027,http://tdcctv.data.one.gov.hk/NL124F.JPG
NL126F,NL126F.JPG,北大嶼山公路近白芒,814546,817693,http://tdcctv.data.one.gov.hk/NL126F.JPG
NL128F,NL128F.JPG,北大嶼山公路近東涌,812639,816709,http://tdcctv.data.one.gov.hk/NL128F.JPG
PB106F,PB106F.JPG,竹篙灣公路,821740,820686,http://tdcctv.data.one.gov.hk/PB106F.JPG
TC560F,TC560F.JPG,青馬大橋,825674,823558,http://tdcctv.data.one.gov.hk/TC560F.JPG
TR103F,TR103F.JPG,屯門公路-油柑頭段,827366,825737,http://tdcctv.data.one.gov.hk/TR103F.JPG
TR107F,TR107F.JPG,屯門公路-深井段,825046,825201,http://tdcctv.data.one.gov.hk/TR107F.JPG
TR111F,TR111F.JPG,屯門公路 -近青龍頭,822317,825036,http://tdcctv.data.one.gov.hk/TR111F.JPG
TR116F,TR116F.JPG,屯門公路-小欖段,818125,825508,http://tdcctv.data.one.gov.hk/TR116F.JPG
SM936F,SM936F.JPG,象鼻山路,831216,826537,http://tdcctv.data.one.gov.hk/SM936F.JPG
TC101F,TC101F.JPG,長青橋,829564,823296,http://tdcctv.data.one.gov.hk/TC101F.JPG
TC302F,TC302F.JPG,長青公路近金竹角,827593,822839,http://tdcctv.data.one.gov.hk/TC302F.JPG
TW102F,TW102F.JPG,葵涌道近貨櫃碼頭,831675,822441,http://tdcctv.data.one.gov.hk/TW102F.JPG
TW103F,TW103F.JPG,荃灣路近荃青交匯處,830393,824630,http://tdcctv.data.one.gov.hk/TW103F.JPG
TW105F,TW105F.JPG,葵青路近青衣大橋,830749,824045,http://tdcctv.data.one.gov.hk/TW105F.JPG
TW108F,TW108F.JPG,葵涌道近葵興港鐵站,831610,824699,http://tdcctv.data.one.gov.hk/TW108F.JPG
TW109F,TW109F.JPG,青山公路近和宜合道,831993,825116,http://tdcctv.data.one.gov.hk/TW109F.JPG
TW112F,TW112F.JPG,和宜合道近梨樹路,832091,825877,http://tdcctv.data.one.gov.hk/TW112F.JPG
TW116F,TW116F.JPG,德士古道天橋近沙咀道,830553,825335,http://tdcctv.data.one.gov.hk/TW116F.JPG
TW117F,TW117F.JPG,青山公路近德士古道北,830770,825684,http://tdcctv.data.one.gov.hk/TW117F.JPG
TW120F,TW120F.JPG,荃灣路近大涌道,829235,825713,http://tdcctv.data.one.gov.hk/TW120F.JPG
TW121F,TW121F.JPG,青葵公路/長青隧道,829296,823288,http://tdcctv.data.one.gov.hk/TW121F.JPG
H421F,H421F.JPG,香港仔隧道香港仔入口,836325,812440,http://tdcctv.data.one.gov.hk/H421F.JPG
K202F,K202F.JPG,亞皆老街近染布房街,835820,820088,http://tdcctv.data.one.gov.hk/K202F.JPG
K205F,K205F.JPG,彌敦道近荔枝角道,835420,820347,http://tdcctv.data.one.gov.hk/K205F.JPG
ST701F,ST701F.JPG,吐露港公路近沙田污水處理廠,839872,830033,http://tdcctv.data.one.gov.hk/ST701F.JPG
ST703F,ST703F.JPG,大埔公路近港鐵馬場站,838936,828954,http://tdcctv.data.one.gov.hk/ST703F.JPG
ST712F1,ST712F1.JPG,大老山公路近沙田醫院,839906,828893,http://tdcctv.data.one.gov.hk/ST712F1.JPG
ST714F,ST714F.JPG,大老山公路近大石鼓,839712,827856,http://tdcctv.data.one.gov.hk/ST714F.JPG
ST715F,ST715F.JPG,沙瀝公路近威爾斯親王醫院,838818,826517,http://tdcctv.data.one.gov.hk/ST715F.JPG
ST721F,ST721F.JPG,沙田路近圓州角公園,838811,827270,http://tdcctv.data.one.gov.hk/ST721F.JPG
ST725F,ST725F.JPG,獅子山隧道公路近新田圍邨,837361,825546,http://tdcctv.data.one.gov.hk/ST725F.JPG
ST731F,ST731F.JPG,馬鞍山繞道近恆安邨,841532,830528,http://tdcctv.data.one.gov.hk/ST731F.JPG
ST732F,ST732F.JPG,馬鞍山繞道近耀安邨,842035,830893,http://tdcctv.data.one.gov.hk/ST732F.JPG
SW109F,SW109F.JPG,元朗公路近洪天路,818100,832003,http://tdcctv.data.one.gov.hk/SW109F.JPG
SW111F,SW111F.JPG,元朗公路近唐人新村交匯處,819442,833173,http://tdcctv.data.one.gov.hk/SW111F.JPG
SW112F,SW112F.JPG,元朗公路近十八鄉,821421,832797,http://tdcctv.data.one.gov.hk/SW112F.JPG
SW113F,SW113F.JPG,元朗公路近博愛交匯處,822114,833747,http://tdcctv.data.one.gov.hk/SW113F.JPG
TI101F,TI101F.JPG,青山公路近洪水橋,818090,832902,http://tdcctv.data.one.gov.hk/TI101F.JPG
TM101F,TM101F.JPG,湖翠路近湖景路,814526,826116,http://tdcctv.data.one.gov.hk/TM101F.JPG
TM103F,TM103F.JPG,龍門路近屯門康樂體育中心,814447,827250,http://tdcctv.data.one.gov.hk/TM103F.JPG
TM118F,TM118F.JPG,杯渡路近屯門公園,815352,828319,http://tdcctv.data.one.gov.hk/TM118F.JPG
TR704F,TR704F.JPG,屯門公路近青賢街,815621,828752,http://tdcctv.data.one.gov.hk/TR704F.JPG
YL101F,YL101F.JPG,朗天路近朗屏路,819746,834085,http://tdcctv.data.one.gov.hk/YL101F.JPG
YL106F,YL106F.JPG,青山公路近元朗,821368,833929,http://tdcctv.data.one.gov.hk/YL106F.JPG
YL111F,YL111F.JPG,青山公路近博愛交匯處,821917,833889,http://tdcctv.data.one.gov.hk/YL111F.JPG
BC702F,BC702F.JPG,青山公路近米埔,824086,838533,http://tdcctv.data.one.gov.hk/BC702F.JPG
TP113F,TP113F.JPG,粉嶺公路近康樂園路,833366,835885,http://tdcctv.data.one.gov.hk/TP113F.JPG
FH706F,FH706F.JPG,粉嶺公路近港鐵粉嶺站,832352,839113,http://tdcctv.data.one.gov.hk/FH706F.JPG
ST922F,ST922F.JPG,獅子山隧道公路近紅梅谷路,836845,825101,http://tdcctv.data.one.gov.hk/ST922F.JPG
SW103F,SW103F.JPG,港深西部公路近廈村,815876,834298,http://tdcctv.data.one.gov.hk/SW103F.JPG
SW108F,SW108F.JPG,元朗公路近丹桂村,817746,831659,http://tdcctv.data.one.gov.hk/SW108F.JPG
TL102F,TL102F.JPG,大欖隧道元朗入口,824319,830139,http://tdcctv.data.one.gov.hk/TL102F.JPG
TL103F,TL103F.JPG,大欖隧道汀九入口,824981,826211,http://tdcctv.data.one.gov.hk/TL103F.JPG
TS102F,TS102F.JPG,南灣隧道昂船洲大橋入口,829111,821664,http://tdcctv.data.one.gov.hk/TS102F.JPG
TS104F,TS104F.JPG,青沙公路近荔枝角,832851,822646,http://tdcctv.data.one.gov.hk/TS104F.JPG
TS105F,TS105F.JPG,沙田嶺隧道沙田入口,835713,825356,http://tdcctv.data.one.gov.hk/TS105F.JPG
TW701F,TW701F.JPG,象鼻山路近美環街,829717,826375,http://tdcctv.data.one.gov.hk/TW701F.JPG
H702F,H702F.JPG,干諾道西,832629,816766,http://tdcctv.data.one.gov.hk/H702F.JPG
H703F,H703F.JPG,西區海底隧道香港入口,832480,816741,http://tdcctv.data.one.gov.hk/H703F.JPG
K901F,K901F.JPG,西區海底隧道九龍入口,834394,818348,http://tdcctv.data.one.gov.hk/K901F.JPG
K931F,K931F.JPG,大老山隧道九龍入口,839086,822485,http://tdcctv.data.one.gov.hk/K931F.JPG
K952F,K952F.JPG,東區海底隧道九龍入口,842183,818178,http://tdcctv.data.one.gov.hk/K952F.JPG
ST942F,ST942F.JPG,大老山隧道沙田入口,839632,826938,http://tdcctv.data.one.gov.hk/ST942F.JPG
K121F,K121F.JPG,廣東道近梳士巴利道,835512,817290,http://tdcctv.data.one.gov.hk/K121F.JPG
TL101F,TL101F.JPG,青朗公路近高埔新村,823996,833151,http://tdcctv.data.one.gov.hk/TL101F.JPG
TR706F,TR706F.JPG,屯門公路近港鐵兆康站,815928,830243,http://tdcctv.data.one.gov.hk/TR706F.JPG
TS101F,TS101F.JPG,南灣隧道西草灣入口,827720,822707,http://tdcctv.data.one.gov.hk/TS101F.JPG